Article,Cleaned,PresenceAbsence,Count,TF-IDF
"UK's National Gallery in the pink

The National Gallery, home to some of the UK's greatest artworks, has seen a big jump in visitor numbers.

Five million visitors made the London gallery - which houses treasures like Raphael's Madonna of the Pinks - the UK's most visited museum in 2004. It recorded a 13.8% rise in numbers and was the country's second most visited tourist attraction, behind Blackpool Pleasure Beach. Charles Saumarez Smith, the gallery's director, said he was ""delighted"". He said the number of visitors through the doors had boosted figures to pre-11 September 2001 levels. Mr Saumarez Smith added that the pedestrianisation of Trafalgar Square, where the gallery is located, and strong temporary collections throughout 2004 had led to the strong performance.

""Our 2004 exhibition programme of El Greco, Russian Landscape in the Age of Tolstoy and Raphael: From Urbino to Rome was particularly strong and exceeded all targets,"" he said. ""The exceptional quality of the paintings in our permanent collection is also huge draw for the public. ""The expectations of today's visitors are higher than ever and we have kept pace with their demands."" Mr Saumarez Smith said he was confident the gallery could maintain the attendance. ""With important exhibitions of the work of Caravaggio, Stubbs and Rubens in place for 2005, I am confident that the gallery is set for another highly successful year,"" he added. The figures were prepared by the Association of Leading Visitor Attractions (Alva).

It found that the figures had been boosted by an increase in Europeans travelling to the UK on budget airlines. Popular cultural tourist spots such as the Tate Modern and the Natural History Museum all recorded increases of more than 10% in visitor numbers compared with 2003. But for legal or confidentiality reasons some Alva members did not submit figures for 2004, including Buckingham Palace, Windsor Castle, Madame Tussauds and Alton Towers. Alva director Robin Broke said: ""Visits from Western Europe were up by 10% and from North America by some 9% compared to 2003, while numbers from the rest of the world rose 20%. ""European figures were helped by the rapid growth of low-cost flights to Britain from Europe, especially from new EU countries.""",uk s national gallery in the pink the national gallery home to some of the uk s greatest artworks has seen a big jump in visitor numbers five million visitors made the london gallery which houses treasures like raphael s madonna of the pinks the uk s most visited museum in 2004 it recorded a 13 8 rise in numbers and was the country s second most visited tourist attraction behind blackpool pleasure beach charles saumarez smith the gallery s director said he was delighted he said the number of visitors through the doors had boosted figures to pre 11 september 2001 levels mr saumarez smith added that the pedestrianisation of trafalgar square where the gallery is located and strong temporary collections throughout 2004 had led to the strong performance our 2004 exhibition programme of el greco russian landscape in the age of tolstoy and raphael from urbino to rome was particularly strong and exceeded all targets he said the exceptional quality of the paintings in our permanent collection is also huge draw for the public the expectations of today s visitors are higher than ever and we have kept pace with their demands mr saumarez smith said he was confident the gallery could maintain the attendance with important exhibitions of the work of caravaggio stubbs and rubens in place for 2005 i am confident that the gallery is set for another highly successful year he added the figures were prepared by the association of leading visitor attractions alva it found that the figures had been boosted by an increase in europeans travelling to the uk on budget airlines popular cultural tourist spots such as the tate modern and the natural history museum all recorded increases of more than 10 in visitor numbers compared with 2003 but for legal or confidentiality reasons some alva members did not submit figures for 2004 including buckingham palace windsor castle madame tussauds and alton towers alva director robin broke said visits from western europe were up by 10 and from north america by some 9 compared to 2003 while numbers from the rest of the world rose 20 european figures were helped by the rapid growth of low cost flights to britain from europe especially from new eu countries,4,0,3
"Sun offers processing by the hour

Sun Microsystems has launched a pay-as-you-go service which will allow customers requiring huge computing power to rent it by the hour.

Sun Grid costs users $1 (53p) for an hour's worth of processing and storage power on systems maintained by Sun. So-called grid computing is the latest buzz phrase in a company which believes that computing capacity is as important a commodity as hardware and software. Sun likened grid computing to the development of electricity.

The system could mature in the same way utilities such as electricity and water have developed, said Sun's chief operating officer Jonathan Schwartz. ""Why build your own grid when you can use ours for a buck an hour?"" he asked in a webcast launching Sun's quarterly Network Computing event in California. The company will have to persuade data centre managers to adopt a new model but it said it already had interest from customers in the oil, gas and financial services industries.

Some of them want to book computing capacity of more than 5,000 processors each, Sun said. Mr Schwartz ran a demonstration of the service, showing how data could be processed in a protein folding experiment. Hundreds of servers were used simultaneously, working on the problem for a few seconds each.

Although it only took a few seconds, the experiment cost $12 (Â£6.30) because it had used up 12 hour's worth of computing power. The Sun Grid relies on Solaris, the operating system owned by Sun. Initially it will house the grid in existing premises and will use idle servers to test software before shipping it to customers. It has not said how much the system will cost to develop but it already has a rival in IBM, which argues that its capacity on-demand service is cheaper than that offered by Sun.",sun offers processing by the hour sun microsystems has launched a pay as you go service which will allow customers requiring huge computing power to rent it by the hour sun grid costs users 1 53p for an hour s worth of processing and storage power on systems maintained by sun so called grid computing is the latest buzz phrase in a company which believes that computing capacity is as important a commodity as hardware and software sun likened grid computing to the development of electricity the system could mature in the same way utilities such as electricity and water have developed said sun s chief operating officer jonathan schwartz why build your own grid when you can use ours for a buck an hour he asked in a webcast launching sun s quarterly network computing event in california the company will have to persuade data centre managers to adopt a new model but it said it already had interest from customers in the oil gas and financial services industries some of them want to book computing capacity of more than 5 000 processors each sun said mr schwartz ran a demonstration of the service showing how data could be processed in a protein folding experiment hundreds of servers were used simultaneously working on the problem for a few seconds each although it only took a few seconds the experiment cost 12 â 6 30 because it had used up 12 hour s worth of computing power the sun grid relies on solaris the operating system owned by sun initially it will house the grid in existing premises and will use idle servers to test software before shipping it to customers it has not said how much the system will cost to develop but it already has a rival in ibm which argues that its capacity on demand service is cheaper than that offered by sun,4,1,0
"Intel unveils laser breakthrough

Intel has unveiled research that could mean data is soon being moved around chips at the speed of light.

Scientists at Intel have overcome a fundamental problem that before now has prevented silicon being used to generate and amplify laser light. The breakthrough should make it easier to interconnect data networks with the chips that process the information. The Intel researchers said products exploiting the breakthrough should appear by the end of the decade.

""We've overcome a fundamental limit,"" said Dr Mario Paniccia, director of Intel's photonics technology lab. Writing in the journal Nature, Dr Paniccia - and colleagues Haisheng Rong, Richard Jones, Ansheng Liu, Oded Cohen, Dani Hak and Alexander Fang - show how they have made a continuous laser from the same material used to make computer processors. Currently, says Dr Paniccia, telecommunications equipment that amplifies the laser light that travels down fibre optic cables is very expensive because of the exotic materials, such as gallium arsenide, used to make it.

Telecommunications firms and chip makers would prefer to use silicon for these light-moving elements because it is cheap and many of the problems of using it in high-volume manufacturing have been solved. ""We're trying to take our silicon competency in manufacturing and apply it to new areas,"" said Dr Paniccia. While work has been done to make some of the components that can move light around, before now silicon has not successfully been used to generate or amplify the laser light pulses used to send data over long distances. This is despite the fact that silicon is a much better amplifier of light pulses than the form of the material used in fibre optic cables. This improved amplification is due to the crystalline structure of the silicon used to make computer chips. Dr Paniccia said that the structure of silicon meant that when laser light passed through it, some colliding photons rip electrons off the atoms within the material. ""It creates a cloud of electrons sitting in the silicon and that absorbs all the light,"" he said. But the Intel researchers have found a way to suck away these errant electrons and turn silicon into a material that can both generate and amplify laser light. Even better, the laser light produced in this way can, with the help of easy-to-make filters, be tuned across a very wide range of frequencies. Semi-conductor lasers made before now have only produced light in a narrow frequency ranges. The result could be the close integration of the fibre optic cables that carry data as light with the computer chips that process it. Dr Paniccia said the work was the one of several steps needed if silicon was to be used to make components that could carry and process light in the form of data pulses. ""It's a technical validation that it can work,"" he said.",intel unveils laser breakthrough intel has unveiled research that could mean data is soon being moved around chips at the speed of light scientists at intel have overcome a fundamental problem that before now has prevented silicon being used to generate and amplify laser light the breakthrough should make it easier to interconnect data networks with the chips that process the information the intel researchers said products exploiting the breakthrough should appear by the end of the decade we ve overcome a fundamental limit said dr mario paniccia director of intel s photonics technology lab writing in the journal nature dr paniccia and colleagues haisheng rong richard jones ansheng liu oded cohen dani hak and alexander fang show how they have made a continuous laser from the same material used to make computer processors currently says dr paniccia telecommunications equipment that amplifies the laser light that travels down fibre optic cables is very expensive because of the exotic materials such as gallium arsenide used to make it telecommunications firms and chip makers would prefer to use silicon for these light moving elements because it is cheap and many of the problems of using it in high volume manufacturing have been solved we re trying to take our silicon competency in manufacturing and apply it to new areas said dr paniccia while work has been done to make some of the components that can move light around before now silicon has not successfully been used to generate or amplify the laser light pulses used to send data over long distances this is despite the fact that silicon is a much better amplifier of light pulses than the form of the material used in fibre optic cables this improved amplification is due to the crystalline structure of the silicon used to make computer chips dr paniccia said that the structure of silicon meant that when laser light passed through it some colliding photons rip electrons off the atoms within the material it creates a cloud of electrons sitting in the silicon and that absorbs all the light he said but the intel researchers have found a way to suck away these errant electrons and turn silicon into a material that can both generate and amplify laser light even better the laser light produced in this way can with the help of easy to make filters be tuned across a very wide range of frequencies semi conductor lasers made before now have only produced light in a narrow frequency ranges the result could be the close integration of the fibre optic cables that carry data as light with the computer chips that process it dr paniccia said the work was the one of several steps needed if silicon was to be used to make components that could carry and process light in the form of data pulses it s a technical validation that it can work he said,4,3,0
"Holmes secures comeback victory

Britain's Kelly Holmes marked her first appearance on home soil since winning double Olympic gold with 1500m victory at the Norwich Union International.

Holmes hit the front just before the bell in front of a sell-out crowd in Glasgow and cruised to victory in a time of four minutes 14.74 seconds. ""It was nice to get that out of the way. I was nervous about whether I would actually be able to get round. ""I felt good. I just had to relax and use my racing knowledge,"" said Holmes. ""It was all about winning in front of my home crowd. The time is irrelevant. ""I got round in one piece and didn't disgrace myself. Now it's about going forward. ""The reception I've had since the Olympics has been amazing and that's why I wanted to keep running this year, because I get a buzz from the crowd."" Holmes ran a tactically perfect race to finish clear of France's Hind Dehiba and Russia's Svetlana Cherkasova. The Olympic 800m and 1500m champion's time was inside the qualifying mark for the European Indoor Championships in Madrid in March. But the 34-year-old would not reveal whether she intended to run or not, having previously indicated she would leave a decision until after the Birmingham Grand Prix on 18 February.",holmes secures comeback victory britain s kelly holmes marked her first appearance on home soil since winning double olympic gold with 1500m victory at the norwich union international holmes hit the front just before the bell in front of a sell out crowd in glasgow and cruised to victory in a time of four minutes 14 74 seconds it was nice to get that out of the way i was nervous about whether i would actually be able to get round i felt good i just had to relax and use my racing knowledge said holmes it was all about winning in front of my home crowd the time is irrelevant i got round in one piece and didn t disgrace myself now it s about going forward the reception i ve had since the olympics has been amazing and that s why i wanted to keep running this year because i get a buzz from the crowd holmes ran a tactically perfect race to finish clear of france s hind dehiba and russia s svetlana cherkasova the olympic 800m and 1500m champion s time was inside the qualifying mark for the european indoor championships in madrid in march but the 34 year old would not reveal whether she intended to run or not having previously indicated she would leave a decision until after the birmingham grand prix on 18 february,1,1,1
"Musical treatment for Capra film

The classic film It's A Wonderful Life is to be turned into a musical by the producer of the controversial hit show Jerry Springer - The Opera.

Frank Capra's 1946 movie starring James Stewart, is being turned into a Â£7m musical by producer Jon Thoday. He is working with Steve Brown, who wrote the award-winning musical Spend Spend Spend. A spokeswoman said the plans were in the ""very early stages"", with no cast, opening date or theatre announced.

A series of workshops have been held in London, and on Wednesday a cast of singers unveiled the musical to a select group of potential investors. Mr Thoday said the idea of turning the film into a musical had been an ambition of his for almost 20 years. It's a Wonderful Life was based on a short story, The Greatest Gift, by Philip van Doren Stern. Mr Thoday managed to buy the rights to the story from Van Doren Stern's family in 1999, following Mr Brown's success with Spend Spend Spend. He later secured the film rights from Paramount, enabling them to use the title It's A Wonderful Life.",musical treatment for capra film the classic film it s a wonderful life is to be turned into a musical by the producer of the controversial hit show jerry springer the opera frank capra s 1946 movie starring james stewart is being turned into a â 7m musical by producer jon thoday he is working with steve brown who wrote the award winning musical spend spend spend a spokeswoman said the plans were in the very early stages with no cast opening date or theatre announced a series of workshops have been held in london and on wednesday a cast of singers unveiled the musical to a select group of potential investors mr thoday said the idea of turning the film into a musical had been an ambition of his for almost 20 years it s a wonderful life was based on a short story the greatest gift by philip van doren stern mr thoday managed to buy the rights to the story from van doren stern s family in 1999 following mr brown s success with spend spend spend he later secured the film rights from paramount enabling them to use the title it s a wonderful life,4,1,2
"Global blogger action day called

The global web blog community is being called into action to lend support to two imprisoned Iranian bloggers.

The month-old Committee to Protect Bloggers' is asking those with blogs to dedicate their sites on 22 February to the ""Free Mojtaba and Arash Day"". Arash Sigarchi and Mojtaba Saminejad are both in prison in Iran. Blogs are free sites through which people publish thoughts and opinions. Iranian authorities have been clamping down on prominent sites for some time. ""I hope this day will focus people,"" Curt Hopkins, director of the Committee, told the BBC News website.

The group has a list of actions which it says bloggers can take, including writing to local Iranian embassies. The Committee has deemed Tuesday ""Free Mojtaba and Arash Day"" as part of its first campaign. It is calling on the blogsphere - the name for the worldwide community of bloggers - to do what it can to help raise awareness of the plight of Mojtaba and Arash as well as other ""cyber-dissidents"". ""If you have a blog, the least you could do is put nothing on that blog except 'Free Mojtaba and Arash Day',"" said Mr Hopkins. ""That would mean you could see that phrase 7.1 million times. That alone will shine some light on the situation. ""If you don't have one, find one dedicated to that - it takes about 30 seconds."" Technorati, a blog search engine, tracks about six million blogs and says that more than 12,000 are added daily. A blog is created every 5.8 seconds, according to a US research think-tank.

The Committee to Protect Bloggers was started by US blogger Curt Hopkins and counts fired flight attendant blogger Ellen Simonetti as a deputy director. She has since started the International Bloggers' Bill of Rights, a global petition to protect bloggers at work. Although not the only website committed to human rights issues by any means, it aims to be the hub or organisation, information and support for bloggers in particular and their rights to freedom of speech.

The Committee, although only a month old, aims to be the focal point for blogger action on similar issues in the future, and will operate as a non-for-profit organisation. ""Blogging is in this weird no man's land. People think of it as being one thing or another depending on their point of view,"" said Mr Hopkins. ""Some think of themselves as pundits, kind of like journalists, and some like me have a private blog which is just a publishing platform. ""But they do not have a constituency and are out there in the cold.""

It is not just human rights issues in countries which have a track record of restricting what is published in the media that is of concern to bloggers. The question of bloggers and what rights they have to say what they want on their sites is a thorny one and has received much press attention recently. High profile cases in which employees have been sacked for what they have said on their personal, and often anonymous blogs, have highlighted the muddy situation that the blogsphere is currently in.

""This is a big messy argument,"" explained Mr Hopkins. He added: ""It is just such a new way of doing business, there will be clamp downs."" But the way these issues get tested is through the courts which, said Mr Hopkins, ""is part of the whole messy conversation."" ""If you haven't already got bloggers in your company, you will have them tomorrow - and if you don't have a blogger policy now you had better start looking at having one. Mr Hopkins said that the blogsphere - which is doubling every five months - was powerful because it takes so little time and expertise to create a blog. ""Everyone does this - mums, radicals, conservatives,"" he said. Many companies offer easy-to-use services to create a blog and publish it in minutes to a global community. ""That is the essential difference. What I call 'templating software' gives every single person on Earth the chance to have one. ""You don't even have to have your own computer.""",global blogger action day called the global web blog community is being called into action to lend support to two imprisoned iranian bloggers the month old committee to protect bloggers is asking those with blogs to dedicate their sites on 22 february to the free mojtaba and arash day arash sigarchi and mojtaba saminejad are both in prison in iran blogs are free sites through which people publish thoughts and opinions iranian authorities have been clamping down on prominent sites for some time i hope this day will focus people curt hopkins director of the committee told the bbc news website the group has a list of actions which it says bloggers can take including writing to local iranian embassies the committee has deemed tuesday free mojtaba and arash day as part of its first campaign it is calling on the blogsphere the name for the worldwide community of bloggers to do what it can to help raise awareness of the plight of mojtaba and arash as well as other cyber dissidents if you have a blog the least you could do is put nothing on that blog except free mojtaba and arash day said mr hopkins that would mean you could see that phrase 7 1 million times that alone will shine some light on the situation if you don t have one find one dedicated to that it takes about 30 seconds technorati a blog search engine tracks about six million blogs and says that more than 12 000 are added daily a blog is created every 5 8 seconds according to a us research think tank the committee to protect bloggers was started by us blogger curt hopkins and counts fired flight attendant blogger ellen simonetti as a deputy director she has since started the international bloggers bill of rights a global petition to protect bloggers at work although not the only website committed to human rights issues by any means it aims to be the hub or organisation information and support for bloggers in particular and their rights to freedom of speech the committee although only a month old aims to be the focal point for blogger action on similar issues in the future and will operate as a non for profit organisation blogging is in this weird no man s land people think of it as being one thing or another depending on their point of view said mr hopkins some think of themselves as pundits kind of like journalists and some like me have a private blog which is just a publishing platform but they do not have a constituency and are out there in the cold it is not just human rights issues in countries which have a track record of restricting what is published in the media that is of concern to bloggers the question of bloggers and what rights they have to say what they want on their sites is a thorny one and has received much press attention recently high profile cases in which employees have been sacked for what they have said on their personal and often anonymous blogs have highlighted the muddy situation that the blogsphere is currently in this is a big messy argument explained mr hopkins he added it is just such a new way of doing business there will be clamp downs but the way these issues get tested is through the courts which said mr hopkins is part of the whole messy conversation if you haven t already got bloggers in your company you will have them tomorrow and if you don t have a blogger policy now you had better start looking at having one mr hopkins said that the blogsphere which is doubling every five months was powerful because it takes so little time and expertise to create a blog everyone does this mums radicals conservatives he said many companies offer easy to use services to create a blog and publish it in minutes to a global community that is the essential difference what i call templating software gives every single person on earth the chance to have one you don t even have to have your own computer,4,3,3
"Straw to attend Auschwitz service

Foreign Secretary Jack Straw will visit Auschwitz for the 60th anniversary of the former Nazi concentration camp's liberation, it has been announced.

Prince Edward will also join the UK delegation in Poland for National Holocaust Memorial Day on 27 January. Between 1.1 and 1.5 million people, mainly Jews, were killed at Auschwitz. The Tories said they were glad Mr Straw had been ""shamed"" into going, having earlier criticised the decision to send a lower-ranking official. Shadow Foreign Secretary Michael Ancram said: ""I am glad the foreign secretary has finally been shamed into representing Britain at this important act of commemoration. ""Once again this government has shown crass insensitivity until it has been forced by public opinion into doing what it should have done in the first place.""

In Britain, the Queen and Prince Philip will lead the nation's commemoration at a service in Westminster Hall, London. The Queen will also host a reception for holocaust survivors at St James's Palace. Altogether, some six million people, mainly Jews, perished in the Holocaust. The Queen's grandson, Prince Harry, sparked outrage earlier this week after photographs of him wearing a Nazi uniform at a costume party emerged. The prince, 20, apologised, but critics have called for him to go to Auschwitz for the commemoration of the Soviets' 1945 liberation of the camp. Prince Harry should see for himself ""the results of the hated symbol he so foolishly and brazenly chose to wear"", Rabbi Marvin Hier, founder of Jewish human rights group the Simon Wiesenthal Center said.",straw to attend auschwitz service foreign secretary jack straw will visit auschwitz for the 60th anniversary of the former nazi concentration camp s liberation it has been announced prince edward will also join the uk delegation in poland for national holocaust memorial day on 27 january between 1 1 and 1 5 million people mainly jews were killed at auschwitz the tories said they were glad mr straw had been shamed into going having earlier criticised the decision to send a lower ranking official shadow foreign secretary michael ancram said i am glad the foreign secretary has finally been shamed into representing britain at this important act of commemoration once again this government has shown crass insensitivity until it has been forced by public opinion into doing what it should have done in the first place in britain the queen and prince philip will lead the nation s commemoration at a service in westminster hall london the queen will also host a reception for holocaust survivors at st james s palace altogether some six million people mainly jews perished in the holocaust the queen s grandson prince harry sparked outrage earlier this week after photographs of him wearing a nazi uniform at a costume party emerged the prince 20 apologised but critics have called for him to go to auschwitz for the commemoration of the soviets 1945 liberation of the camp prince harry should see for himself the results of the hated symbol he so foolishly and brazenly chose to wear rabbi marvin hier founder of jewish human rights group the simon wiesenthal center said,4,1,3
"Blair rejects Tory terror offer

Tony Blair has rejected a Conservative compromise offer that could have eased the passage of anti-terror legislation.

The Tories wanted a sunset clause inserted in the Anti-Terrorism Bill that would have forced ministers to revisit it in November. Mr Blair said the bill, which brings in house arrest for terror suspects, had time limiting safeguards already. The Tories say they will vote against it unless changes they want are agreed. The Lib Dems also oppose the plans.

The government has already given way over the role of judges in house arrest cases.

Mr Blair's refusal to accept the Tories' sunset clause proposals means that the government faces concerted opposition from all sides in the Lords. Peers begin three days of detailed deliberation on the bill on Thursday. The bill proposes ""control orders"", which as well as placing terrorism suspects under house arrest could mean curfews, tagging or bans on telephone and internet use. These would replace current powers to detain foreign terror suspects without trial, which the law lords have ruled against as a breach of human rights.

The Tories want judicial oversight of all control orders, not just house arrest. Shadow Home Secretary David Davis told BBC Radio Four's the World at One his primary concern was potential miscarriages of justice. He said if someone was wrongly given a control order it would act as a ""recruiting sergeant"" for terrorists. He went on to say: ""If we don't get the amendments we regard as essential, including the sunset clause, we will vote against the bill."" In the Commons, Mr Howard said it would be ""far better if the whole of the legislation was subject to a sunset clause so Parliament could consider it all in a proper way instead of it being ramrodded through"". Mr Blair said the house arrest powers were already going to be subject to a sunset clause because it was annually renewable.

The second, less stringent, type of control orders would be subject to a court appeal within 14 days and there would be a three-monthly report on their use by ""an eminent and independent person"". ""I believe (the new powers) are a proper balance between the civil liberties of the subject and the necessary national security of this country that I will not put at risk,"" said Mr Blair. The Lib Dems plan to oppose the Bill in the Lords on Thursday. Lib Dem home affairs spokesman Mark Oaten said: ""There's a lot of talking left. I would be uneasy about supporting a very bad bill even if it was just for eight months."" A spokeswoman for Human Rights Watch said it was a ""basic principle"" that people should only be punished after a fair trial. She added: ""Having a judge impose those punishments without a trial does not sanitise them either.""",blair rejects tory terror offer tony blair has rejected a conservative compromise offer that could have eased the passage of anti terror legislation the tories wanted a sunset clause inserted in the anti terrorism bill that would have forced ministers to revisit it in november mr blair said the bill which brings in house arrest for terror suspects had time limiting safeguards already the tories say they will vote against it unless changes they want are agreed the lib dems also oppose the plans the government has already given way over the role of judges in house arrest cases mr blair s refusal to accept the tories sunset clause proposals means that the government faces concerted opposition from all sides in the lords peers begin three days of detailed deliberation on the bill on thursday the bill proposes control orders which as well as placing terrorism suspects under house arrest could mean curfews tagging or bans on telephone and internet use these would replace current powers to detain foreign terror suspects without trial which the law lords have ruled against as a breach of human rights the tories want judicial oversight of all control orders not just house arrest shadow home secretary david davis told bbc radio four s the world at one his primary concern was potential miscarriages of justice he said if someone was wrongly given a control order it would act as a recruiting sergeant for terrorists he went on to say if we don t get the amendments we regard as essential including the sunset clause we will vote against the bill in the commons mr howard said it would be far better if the whole of the legislation was subject to a sunset clause so parliament could consider it all in a proper way instead of it being ramrodded through mr blair said the house arrest powers were already going to be subject to a sunset clause because it was annually renewable the second less stringent type of control orders would be subject to a court appeal within 14 days and there would be a three monthly report on their use by an eminent and independent person i believe the new powers are a proper balance between the civil liberties of the subject and the necessary national security of this country that i will not put at risk said mr blair the lib dems plan to oppose the bill in the lords on thursday lib dem home affairs spokesman mark oaten said there s a lot of talking left i would be uneasy about supporting a very bad bill even if it was just for eight months a spokeswoman for human rights watch said it was a basic principle that people should only be punished after a fair trial she added having a judge impose those punishments without a trial does not sanitise them either,4,0,3
"UK Athletics agrees new kit deal

UK Athletics has agreed a new deal with adidas to supply Great Britain squads of all ages with their kit for the next four years.

The German-based firm kitted out Team GB at the 2004 Olympics and has deals with 20 other national Olympic bodies. UK Athletics chief David Moorcroft said: ""The Athens experience can now be extended to more major championships. ""In the year ahead these include the European indoor and World outdoor championships. We are delighted."" Moorcroft added: ""It is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world-class series of live televised events."" This week, UK Athletics also agreed a four-year deal with energy drink company, Red Bull, who will be supplying the product to athletics at major domestic meetings and in high performance centres.",uk athletics agrees new kit deal uk athletics has agreed a new deal with adidas to supply great britain squads of all ages with their kit for the next four years the german based firm kitted out team gb at the 2004 olympics and has deals with 20 other national olympic bodies uk athletics chief david moorcroft said the athens experience can now be extended to more major championships in the year ahead these include the european indoor and world outdoor championships we are delighted moorcroft added it is hugely beneficial to the sport that the adidas commitment will also provide for officials and other personnel at our world class series of live televised events this week uk athletics also agreed a four year deal with energy drink company red bull who will be supplying the product to athletics at major domestic meetings and in high performance centres,4,1,4
"Lit Idol begins search for author

The second Pop Idol-style search for literary talent has begun with the help of the brother of Simon Cowell.

Writer Tony Cowell is among the judges who will hear aspiring writers read their work aloud. The winner gets a deal with literary agency Curtis Brown. ""I'm not going to be the Mr Nasty of books,"" said Cowell, 54, in reference to his brother's caustic remarks on TV shows Pop Idol and The X-Factor. The 2004 winner, Paul Cavanagh, went on to sign a deal with Harper Collins.

This year, the competition is specifically looking for a crime writer. Writers must submit up to 10,000 words from the opening chapters of their novels and a synopsis. Professional readers will choose a shortlist of five following the competition closing date on 14 January.

The final five will then have to read their work in front of judging panel. A public vote will also take place, which will account for 25% of the final decision. The winner will be announced at the London Book Fair on 14 March next year and could be screened on TV. ""It's very, very hard to find an agent and extremely difficult, without an agent, to get a publisher to look at your work,"" said Cowell. ""People do fall by the wayside and the more avenues we can provide for aspiring authors, the better,"" he added. Paul Cavanagh, a former university professor and health care consultant from Ontario in Canada, was one of 1,466 aspiring novelists to enter the first contest. He lifted the inaugural Lit Idol prize after reading aloud an excerpt of his work Northwest Passage. Three film studios are said to be interested in buying film rights for the book, even though it is not finished yet.",lit idol begins search for author the second pop idol style search for literary talent has begun with the help of the brother of simon cowell writer tony cowell is among the judges who will hear aspiring writers read their work aloud the winner gets a deal with literary agency curtis brown i m not going to be the mr nasty of books said cowell 54 in reference to his brother s caustic remarks on tv shows pop idol and the x factor the 2004 winner paul cavanagh went on to sign a deal with harper collins this year the competition is specifically looking for a crime writer writers must submit up to 10 000 words from the opening chapters of their novels and a synopsis professional readers will choose a shortlist of five following the competition closing date on 14 january the final five will then have to read their work in front of judging panel a public vote will also take place which will account for 25 of the final decision the winner will be announced at the london book fair on 14 march next year and could be screened on tv it s very very hard to find an agent and extremely difficult without an agent to get a publisher to look at your work said cowell people do fall by the wayside and the more avenues we can provide for aspiring authors the better he added paul cavanagh a former university professor and health care consultant from ontario in canada was one of 1 466 aspiring novelists to enter the first contest he lifted the inaugural lit idol prize after reading aloud an excerpt of his work northwest passage three film studios are said to be interested in buying film rights for the book even though it is not finished yet,4,1,2
